price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,make
15690,24,20,5200,156,9.2,3.35,3.27,mpfi,171,6,dohc,3131,54.1,66.5,187.8,104.5,front,rwd,sedan,4,std,gas,toyota
15750,24,19,5200,156,9.2,3.35,3.27,mpfi,161,6,dohc,3151,54.1,66.5,187.8,104.5,front,rwd,wagon,4,std,gas,toyota
7775,46,37,4800,52,23,3.4,3.01,idi,97,4,ohc,2261,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,diesel,volkswagen
7975,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2209,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,gas,volkswagen
7995,46,37,4800,52,23,3.4,3.01,idi,97,4,ohc,2264,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,diesel,volkswagen
8195,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2212,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen
8495,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2275,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen
9495,42,37,4500,68,23,3.4,3.01,idi,97,4,ohc,2319,55.7,65.5,171.7,97.3,front,fwd,sedan,4,turbo,diesel,volkswagen
9995,32,26,5500,100,10,3.4,3.19,mpfi,109,4,ohc,2300,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen
11595,29,24,5500,90,8.5,3.4,3.19,mpfi,109,4,ohc,2254,55.6,64.2,159.3,94.5,front,fwd,convertible,2,std,gas,volkswagen
9980,29,24,5500,90,8.5,3.4,3.19,mpfi,109,4,ohc,2221,51.4,64,165.7,94.5,front,fwd,hatchback,2,std,gas,volkswagen
13295,24,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2661,55.1,66.9,180.2,100.4,front,fwd,sedan,4,std,gas,volkswagen
13845,38,33,4500,68,23,3.4,3.01,idi,97,4,ohc,2579,55.1,66.9,180.2,100.4,front,fwd,sedan,4,turbo,diesel,volkswagen
12290,31,25,5500,88,9,3.4,3.19,mpfi,109,4,ohc,2563,55.1,66.9,183.1,100.4,front,fwd,wagon,4,std,gas,volkswagen
12940,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2912,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,volvo
13415,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3034,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,volvo
15985,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2935,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,volvo
16515,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3042,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,volvo
18420,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3045,56.2,67.2,188.8,104.3,front,rwd,sedan,4,turbo,gas,volvo
18950,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3157,57.5,67.2,188.8,104.3,front,rwd,wagon,4,turbo,gas,volvo
16845,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2952,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,volvo
19045,25,19,5300,160,8.7,3.15,3.78,mpfi,141,4,ohc,3049,55.5,68.8,188.8,109.1,front,rwd,sedan,4,turbo,gas,volvo
21485,23,18,5500,134,8.8,2.87,3.58,mpfi,173,6,ohcv,3012,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,volvo
22470,27,26,4800,106,23,3.4,3.01,idi,145,6,ohc,3217,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,diesel,volvo
22625,25,19,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3062,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,gas,volvo
